-2.161749,-2.0015926,-1.7613583,-1.7211971,-1.7241268,-1.8187313,-2.0260067,-2.3004208,-2.6281796,-3.1120663,-3.389288,-3.687994,-3.9824276

-3.9781208,-4.037447,-4.080538,-4.0729694,-4.103609,-4.0925007,-3.8768024,-3.2800007,-2.8487263,-2.4809284,-2.31003,-2.1237507,-1.9017048
-4.0555134,-4.2048054,-4.275606,-4.232149,-4.228853,-4.219576,-4.1716022,-3.8731403,-3.4963093,-3.1785603,-2.9936237,-2.697359,-2.1835651
-4.134859,-4.2990437,-4.452486,-4.5224323,-4.522188,-4.468111,-4.363497,-4.2154255,-3.9352741,-3.6927204,-3.6027546,-3.3791218,-2.7399616
-4.2269,-4.3821735,-4.5398884,-4.685274,-4.7188435,-4.7029743,-4.6165485,-4.499117,-4.3163776,-4.106539,-3.9104939,-3.2173786,-2.4734821
-4.326021,-4.4533405,-4.5815144,-4.7092,-4.782442,-4.776705,-4.7464314,-4.664278,-4.5472126,-4.449068,-4.1983356,-3.209444,-2.2726765
-4.443819,-4.5700397,-4.6718464,-4.7848835,-4.8582478,-4.8976765,-4.8892536,-4.8315144,-4.8576374,-4.7692585,-4.6006794,-3.5823689,-2.631319
-4.6219196,-4.680147,-4.7776814,-4.8910847,-5.0109577,-5.051485,-5.0657673,-5.031954,-5.0578327,-5.1217976,-5.0591755,-4.1702595,-3.1890583
-4.7763386,-4.8349323,-4.8910847,-4.9705524,-5.090914,-5.2137165,-5.235323,-5.225069,-5.2937946,-5.3576374,-5.387911,-4.704439,-3.7200642
-5.0645466,-5.021456,-5.0398884,-5.086397,-5.181246,-5.3107624,-5.3736286,-5.47983,-5.5502644,-5.566744,-5.5380573,-4.867403,-3.9466267
-5.360811,-5.3143024,-5.247408,-5.2519245,-5.330782,-5.4234333,-5.5108356,-5.6508503,-5.759859,-5.7834187,-5.665621,-5.054537,-4.1463337
