name,mean,std,min,max,kurtosis,skewness,median
"wind_data_38.25,123",6.647442280598384,3.4549661104938596,0.475771805437284,19.5612027057144,-0.2501130054178611,0.37388697336395316,6.547391760891536
"wind_data_38.25,124.25",6.379383340189129,3.512370993715805,0.0871293510381628,19.3834917119939,-0.26855292601438663,0.4026750340442685,6.36845306423557
"wind_data_38.25,124.5",6.329543791714856,3.542300797613188,0.0444901333312273,19.1646907709223,-0.26354774528601643,0.44909041746204587,6.12363808698571
"wind_data_38.25,124",6.467508674667657,3.552946098593142,0.100634597049137,19.7325038524101,-0.2569607851744067,0.3694756640648249,6.399412428917399
"wind_data_38.5,123.25",6.55867735963557,3.486107568280831,0.210919248802019,19.7820322819764,-0.23444086330052016,0.3871031682218184,6.55009017741435
"wind_data_38.5,123.5",6.521150405031751,3.5394608687622835,0.0436621198087424,20.0024942395312,-0.22804718199649887,0.3786163098115288,6.39481999334528
"wind_data_38.5,123.75",6.476948906035173,3.5844955420122364,0.0658829126761936,20.1192135534395,-0.2295595669587982,0.38069924161071583,6.447398685942115
"wind_data_38.5,123",6.577363337298567,3.4272551745156075,0.38902840269568,19.4842514176297,-0.2300139304008959,0.38068376181249375,6.37095479989901
"wind_data_38.5,124.25",6.3530007294543145,3.586424154751875,0.104634238077992,19.6686421978421,-0.30531088273315454,0.4175631330161915,6.2474331034323
"wind_data_38.5,124.5",6.2401898400360665,3.576139887270571,0.128389706589802,19.1388502981041,-0.3634360274800619,0.4519249053978326,6.086602256383999
"wind_data_38.5,124",6.425132526788394,3.5912175624787688,0.14111433505917,19.9444751271849,-0.2715952829468109,0.3920482153026942,6.38392065575078
"wind_data_38.75,123.25",6.463873394979337,3.4368730983045377,0.0946632559932026,19.5295591151919,-0.22131161387053977,0.3826429264590915,6.41441671230615
"wind_data_38.75,123.5",6.5007428977082435,3.521659477083862,0.412460384016408,19.952180452589,-0.2284901585130572,0.3993445426329117,6.50327411464398
"wind_data_38.75,123.75",6.444870851107449,3.5509943384177385,0.317054306487819,20.036241416854,-0.24265521216560382,0.40846039196798223,6.403148961544745
"wind_data_38.75,123",6.47916530717443,3.3896283248125436,0.477162695715003,19.2356415609875,-0.21653999520631162,0.36726664557420763,6.325604667336835
"wind_data_38.75,124.25",6.314890679742011,3.597830292014255,0.185850624409847,19.5843101782202,-0.3718516047597231,0.42196734445218564,6.1223906747528645
"wind_data_38.75,124.5",6.197360489472663,3.5822724929872454,0.264627247765072,19.0279873558225,-0.4421591041861923,0.45703488752762006,5.8202574320422
"wind_data_38.75,124",6.399174738837499,3.582384084637508,0.390578241576619,19.9670063668031,-0.2901042082131178,0.4121946552461179,6.316924556332265
"wind_data_39,123.25",6.39644616051292,3.406623979786222,0.489824050781776,19.3796947617741,-0.16831723072064086,0.3979929753093093,6.293052966153031
"wind_data_39,123.5",6.438725703397787,3.480955990971189,0.144733226928369,19.8240598458962,-0.17876280130357625,0.42100207824049374,6.361313645457734
"wind_data_39,123.75",6.417714040029398,3.5190249977821706,0.315241086817931,19.8891735429923,-0.22387074463581325,0.4213857085517033,6.283290451454825
"wind_data_39,123",6.2871944686573995,3.303233801950662,0.376654831992989,18.6984784202185,-0.17199240522571468,0.36370096725401707,6.139243621013515
"wind_data_39,124.25",6.291822695923304,3.571870300779927,0.538015887254533,19.5886534026761,-0.3639491595339486,0.4382950524563149,6.122593461068639
"wind_data_39,124.5",6.141936676816025,3.5473956822086796,0.0545065922705866,18.8622171953819,-0.4550949016773713,0.4444689148896663,5.890533509715075
"wind_data_39,124",6.378729348323447,3.5710329186513863,0.317190143567119,19.9888900675783,-0.2655956458694093,0.4247294293924405,6.225428278493185
"wind_data_34,123.5_C",6.941672446140259,3.2999130546732403,0.165907247442564,16.4809966619063,-0.25491945510983705,0.476213406192858,6.55779987964374
"wind_data_34,123.75_C",6.963753655716772,3.3156233875992625,0.501372148144364,16.4465868083267,-0.3243092380209909,0.44745626257443843,6.743748104921265
"wind_data_34,124.25_C",6.996538630448194,3.4058536662512178,0.140054561093285,16.0653528896229,-0.4666981451671872,0.35052847857019653,6.708451895580145
"wind_data_34,124.5_C",7.022970969836173,3.4487890462119557,0.0877262701786193,15.6422837824204,-0.5223497617794708,0.3113553528143413,6.666692533440784
"wind_data_34,124.75_C",7.062815123304361,3.484356280298202,0.284864374703616,15.8741954082898,-0.5408360576826379,0.3053237761463858,6.6765697662813395
"wind_data_34,124_C",6.983498086108058,3.3598914731174236,0.413507070715797,16.3257386412233,-0.4034253720770167,0.4012670878206831,6.714464117276425
"wind_data_34,125.25_C",7.064961705668815,3.5198154071134327,0.36570284278733,16.0818148420978,-0.5541983041556637,0.2807807797610597,6.758428803556535
"wind_data_34,125.5_C",7.085772019676861,3.554632938736329,0.198347386338916,16.2379059978853,-0.5472911991704263,0.2632043639535113,6.7423017976447746
"wind_data_34,125.75_C",7.128208100932301,3.575117616786994,0.100154881438006,16.3016171594288,-0.530608239417373,0.25274401461629137,6.77440364971519
"wind_data_34,125_C",7.052282281450532,3.4851611516563548,0.388228756082313,15.9710773238798,-0.5587631465845426,0.29319503281059794,6.7570638293365555
"wind_data_34,126.25_C",7.0068313104673,3.505376594644566,0.0722537163985131,16.4412598201065,-0.29218442459149596,0.36333414841096107,6.6759437554154
"wind_data_34,126.5_C",6.930293872410975,3.5103717070099973,0.138741080049584,16.8210651295954,-0.1300094110929959,0.46018059954882906,6.62681880836847
"wind_data_34,126_C",7.118967406602033,3.5639126246906465,0.14684191117622,16.4437690254039,-0.4564199481667224,0.28161005621482893,6.85752415897378
"wind_data_34.25,123.5_C",6.900041784808791,3.311079475046477,0.0518257358712635,16.2649063040876,-0.2538989205681377,0.49574177681792253,6.596461263685165
"wind_data_34.25,123.75_C",6.912667734127468,3.317912047735782,0.438847926242374,16.1740976638294,-0.3222832692212769,0.47152181728738196,6.626354690869655
"wind_data_34.25,124.25_C",6.927596572461027,3.406228509881503,0.466510616330315,15.9190571173228,-0.4534044862574995,0.3781897414018364,6.66270373244645
"wind_data_34.25,124.5_C",6.929948936710379,3.4390916008495003,0.42054713369379,15.5902119730619,-0.49323398693519405,0.34697227603439207,6.53199916128251
"wind_data_34.25,124.75_C",6.944126569013754,3.477585172241777,0.27299673181071,15.8334752841693,-0.5143165750044525,0.3249663063447579,6.5812718180817
