2.9071655,2.9120483,2.8944702,2.815979,2.678894,2.53656,2.3080444,1.758606,1.2555542,0.81085205,0.4981079,0.18121338,0.0095825195
2.8444214,2.8497925,2.8239136,2.7769165,2.6830444,2.574524,2.484436,2.1380005,1.6327515,1.1043091,0.6592407,0.2723999,-9.1552734E-4
2.7886353,2.7904663,2.7775269,2.7130737,2.6143188,2.520691,2.4815063,2.269226,1.8639526,1.3840942,0.9031372,0.47113037,0.12884521
2.7850952,2.7454224,2.7006226,2.6190796,2.531433,2.4640503,2.4317017,2.2088013,1.8140259,1.3328247,0.8475952,0.62823486,0.37420654
2.7799683,2.6764526,2.617981,2.5558472,2.4769897,2.4075317,2.328064,2.1295776,1.6939087,1.0718384,0.48138428,0.39007568,0.46392822
2.6819458,2.5824585,2.546936,2.5095825,2.425354,2.2758179,2.1344604,1.8987427,1.3432007,0.7053833,-0.06842041,-0.12506104,-0.026306152
2.5160522,2.5131226,2.496399,2.453186,2.3169556,2.1658325,1.9186401,1.5828247,1.026062,0.27069092,-0.5765991,-0.6824341,-0.48565674
2.4629517,2.4595337,2.4766235,2.3984985,2.2619019,2.0263062,1.7589722,1.3739624,0.8168335,0.058776855,-0.8121948,-0.98223877,-0.78497314
2.3441772,2.4277954,2.4492798,2.3504028,2.137268,1.8927612,1.6602173,1.190979,0.64263916,0.055114746,-0.75042725,-0.90411377,-0.63934326
2.3257446,2.4315796,2.355774,2.1755981,1.9609985,1.7235718,1.538269,1.0596313,0.4973755,-0.089416504,-0.6469116,-0.65631104,-0.39813232
2.2804565,2.3809204,2.2597046,2.0424194,1.7997437,1.5501099,1.3032837,0.81329346,0.22625732,-0.34613037,-0.7863159,-0.63031006,-0.26507568
2.0900269,2.2073364,2.1489868,1.9227905,1.6748657,1.4094849,1.1227417,0.6039429,-0.054260254,-0.664978,-1.0236206,-0.7243042,-0.33746338
1.9334106,2.0558472,1.9876099,1.7661743,1.5154419,1.2307739,0.9155884,0.4208374,-0.23150635,-0.8423462,-1.2089233,-1.0059204,-0.6350708
1.7804565,1.8582153,1.7557983,1.5336304,1.2797241,0.9935913,0.6244507,0.17462158,-0.409729,-0.8602905,-1.197937,-1.1830444,-1.0947876
1.6754761,1.7755737,1.6340942,1.3987427,1.0669556,0.71551514,0.34576416,-0.06512451,-0.4993286,-0.7267456,-0.9953003,-1.2070923,-1.3235474
1.5973511,1.6670532,1.5643921,1.295105,0.92596436,0.550354,0.19012451,-0.082092285,-0.39312744,-0.54693604,-0.7843628,-1.1372681,-1.6604614

